filename,size,size_gb
chunk_0-00228-of-00546.parquet,155010312,0.144
chunk_0-00229-of-00546.parquet,145601057,0.136
chunk_0-00230-of-00546.parquet,161944236,0.151
chunk_0-00231-of-00546.parquet,164098640,0.153
chunk_0-00232-of-00546.parquet,167506900,0.156
chunk_0-00233-of-00546.parquet,191521890,0.178
chunk_0-00234-of-00546.parquet,197388616,0.184
chunk_0-00235-of-00546.parquet,187222168,0.174
chunk_0-00236-of-00546.parquet,191625105,0.178
chunk_0-00237-of-00546.parquet,186142765,0.173
chunk_0-00238-of-00546.parquet,187808113,0.175
chunk_0-00239-of-00546.parquet,169613204,0.158
chunk_0-00240-of-00546.parquet,163440856,0.152
chunk_0-00241-of-00546.parquet,160409641,0.149
chunk_0-00242-of-00546.parquet,154691201,0.144
chunk_0-00243-of-00546.parquet,155711356,0.145
chunk_0-00244-of-00546.parquet,160076211,0.149
chunk_0-00245-of-00546.parquet,145846667,0.136
chunk_0-00246-of-00546.parquet,150154660,0.14
chunk_0-00247-of-00546.parquet,144496530,0.135
chunk_0-00248-of-00546.parquet,138058356,0.129
chunk_0-00249-of-00546.parquet,144973320,0.135
chunk_0-00250-of-00546.parquet,150225599,0.14
chunk_0-00251-of-00546.parquet,168383845,0.157
chunk_0-00252-of-00546.parquet,178495127,0.166
chunk_0-00253-of-00546.parquet,193076973,0.18
chunk_0-00254-of-00546.parquet,183511554,0.171
chunk_0-00255-of-00546.parquet,180513308,0.168
chunk_0-00256-of-00546.parquet,180950740,0.169
chunk_0-00257-of-00546.parquet,173509899,0.162
chunk_0-00258-of-00546.parquet,175797381,0.164
chunk_0-00259-of-00546.parquet,179640188,0.167
chunk_0-00260-of-00546.parquet,176014483,0.164
chunk_0-00261-of-00546.parquet,182377075,0.17
chunk_0-00262-of-00546.parquet,179632430,0.167
chunk_0-00263-of-00546.parquet,182435861,0.17
chunk_0-00264-of-00546.parquet,177233953,0.165
chunk_0-00265-of-00546.parquet,169376949,0.158
chunk_0-00266-of-00546.parquet,170780662,0.159
chunk_0-00267-of-00546.parquet,175629914,0.164
chunk_0-00268-of-00546.parquet,173441291,0.162
chunk_0-00269-of-00546.parquet,175623505,0.164
chunk_0-00270-of-00546.parquet,168831430,0.157
chunk_0-00271-of-00546.parquet,188134373,0.175
chunk_0-00272-of-00546.parquet,168514208,0.157
chunk_0-00273-of-00546.parquet,150072530,0.14
chunk_0-00274-of-00546.parquet,165457430,0.154
chunk_0-00275-of-00546.parquet,164013541,0.153
chunk_0-00276-of-00546.parquet,167625135,0.156
chunk_0-00277-of-00546.parquet,175352901,0.163
chunk_0-00278-of-00546.parquet,178858212,0.167
chunk_0-00279-of-00546.parquet,161817721,0.151
chunk_0-00280-of-00546.parquet,131113258,0.122
chunk_0-00281-of-00546.parquet,125606680,0.117
chunk_0-00282-of-00546.parquet,107226605,0.1
chunk_0-00283-of-00546.parquet,92039060,0.086
chunk_0-00284-of-00546.parquet,99591015,0.093
chunk_0-00285-of-00546.parquet,108907524,0.101
chunk_0-00286-of-00546.parquet,134697107,0.125
chunk_0-00287-of-00546.parquet,138595949,0.129
chunk_0-00288-of-00546.parquet,162228271,0.151
chunk_0-00289-of-00546.parquet,200402099,0.187
chunk_0-00290-of-00546.parquet,195354585,0.182
chunk_0-00291-of-00546.parquet,186258886,0.173
chunk_0-00292-of-00546.parquet,207040832,0.193
chunk_0-00293-of-00546.parquet,178872800,0.167
chunk_0-00294-of-00546.parquet,179796066,0.167
chunk_0-00295-of-00546.parquet,173161875,0.161
chunk_0-00296-of-00546.parquet,154246137,0.144
chunk_0-00297-of-00546.parquet,149191160,0.139
chunk_0-00298-of-00546.parquet,142691626,0.133
chunk_0-00299-of-00546.parquet,164007338,0.153
chunk_0-00300-of-00546.parquet,168793989,0.157
chunk_0-00301-of-00546.parquet,167373814,0.156
chunk_0-00302-of-00546.parquet,172804608,0.161
chunk_0-00303-of-00546.parquet,188837647,0.176
chunk_0-00304-of-00546.parquet,188012946,0.175
chunk_0-00305-of-00546.parquet,185722043,0.173
chunk_0-00306-of-00546.parquet,169245144,0.158
chunk_0-00307-of-00546.parquet,149792386,0.14
chunk_0-00308-of-00546.parquet,155908172,0.145
chunk_0-00309-of-00546.parquet,168986250,0.157
chunk_0-00310-of-00546.parquet,162772934,0.152
chunk_0-00311-of-00546.parquet,182907112,0.17
chunk_0-00312-of-00546.parquet,172957985,0.161
chunk_0-00313-of-00546.parquet,169460741,0.158
chunk_0-00314-of-00546.parquet,154413224,0.144
chunk_0-00315-of-00546.parquet,145218338,0.135
chunk_0-00316-of-00546.parquet,144515485,0.135
chunk_0-00317-of-00546.parquet,153323458,0.143
chunk_0-00318-of-00546.parquet,159562036,0.149
chunk_0-00319-of-00546.parquet,188742098,0.176
chunk_0-00320-of-00546.parquet,200495393,0.187
chunk_0-00321-of-00546.parquet,171850346,0.16
chunk_0-00322-of-00546.parquet,162391368,0.151
